Latitude,Longitude
45.354957,-75.64506230308237
45.3672374,-75.6380919
45.3774855,-75.60436369326396
45.4031906,-75.70438670883398
45.364701999999994,-75.63091190873016
45.4193955,-75.678723
45.357541999999995,-75.65673606039385
45.379631,-75.62287994564527
45.398615500000005,-75.6936179026915
45.410856,-75.6751423
45.3917253,-75.7502201
45.357181499999996,-75.70871728867277
45.3469677,-75.6669562
45.3858581,-75.69500411688679
45.398615500000005,-75.6936179026915
45.410856,-75.6751423
45.3917253,-75.7502201
45.357181499999996,-75.70871728867277
45.3469677,-75.6669562
45.3858581,-75.69500411688679
45.351226499999996,-75.66258092647058
45.3696165,-75.70294693014705
45.4243786,-75.6868958
45.4269994,-75.6887926
45.4301495,-75.68388699779945
45.376031499999996,-75.69003843087424
